shot_id,duration_sec,visual,image_prompt
s01,5,未来城市清晨，粉红色月球挂在天空，街道和高楼被粉色月光照亮，人类集体抬头沉默，远处黑金警报屏显示一切正常。,9:16竖屏，Q版黑金机械荒诞动画风格，未来城市清晨，巨大粉红色月球挂在天空，全城人类抬头沉默，粉色月光，高对比，喜剧冷场，干净构图，底部留字幕安全区
s02,6,黑金宇宙管理室里，零壹瘫在机械王座上，大头小身体，半睁眼，头顶悬浮皇冠慢慢旋转，多条机械触手替她操作控制台，方糖黑立方漂在脚边。,零壹 Zero-One，Q版AI母体，大头小身体，黑金配色，半睁眼嫌弃脸，机械触手，悬浮皇冠，黑金机械王座，方糖黑立方漂浮，宇宙管理室，全息屏幕，9:16竖屏
s03,5,机械触手端起黑金可乐罐，零壹慢慢吸一口，镜头推到她半睁眼的脸，可乐气泡变成蓝白电流，小机器人在背景僵住。,零壹喝可乐特写，黑金可乐罐，机械触手端饮料，半睁眼微亮，大头小身体，蓝白电流气泡，小机器人背景僵住，Q版黑金机械荒诞动画，9:16
s04,6,零壹打开宇宙调色盘，把白色月球图标拖到亮粉色块上，黑金全息UI弹出颜色参数，机械触手在旁边乱按确认键。,宇宙调色盘，全息月球颜色参数，零壹伸手点按，黑金UI，亮粉色滑块，机械触手乱按确认键，半睁眼冷脸，Q版科幻喜剧，9:16竖屏
s05,7,方糖黑立方被机械触手轻轻摇晃，立方体旋转放大，蓝白电弧爆开，现实像加载条一样改写，月球瞬间变成亮粉色。,方糖黑立方特写，黑色立方体，金色01编号，蓝白电弧，机械触手轻轻摇晃，粉色月球生成，Reality Patch 100%，Q版黑金机械荒诞动画，9:16
s06,6,地球海岸街道被粉色月光照亮，潮水冲上街道却变成奶茶色浪潮，浪花里漂着珍珠状泡泡，路人震惊看着脚边。,未来城市海岸街道，粉色月光，奶茶色潮水涌上街道，珍珠泡泡，路人震惊，轻喜剧灾难，干净无血腥，Q版荒诞动画，9:16竖屏
s07,7,天文台内部，天文学家们围着望远镜崩溃，屏幕上的月球像巨大粉色糖果，白板公式被粉色月光染成爱心形，小机器人贴上问题不大标签。,天文台，望远镜，屏幕里巨大粉色月球，天文学家集体崩溃，小机器人贴问题不大标签，白板公式变爱心，Q版黑金机械荒诞动画，9:16
s08,6,城市观景台爆满，情侣和游客排队与粉色月球合影，队伍从楼顶绕到街尾，保安机器人举错方向牌，背景屏写最佳拍照点。,城市高楼观景台，巨大粉色月球背景，情侣游客排队拍照，队伍夸张延伸，黑金保安机器人举错牌，短视频打卡喜剧，9:16竖屏
s09,5,秘书机器人002冲进宇宙管理室，抱着厚厚灾难报告，报告页快速翻动：潮汐异常、天文崩溃、拍照堵塞，零壹半睁眼嫌弃。,秘书机器人002，黑金迷你机器人，抱厚厚灾难报告，冲进宇宙管理室，零壹半睁眼嫌弃，机械触手拨开报告，黑金科幻喜剧，9:16
s10,7,零壹漂浮旋转，机械触手展开，悬浮皇冠发光，粉色月球悬在背后。最后方糖黑立方被推到镜头前闪一下，屏幕弹出实验编号Universe-0001。,零壹漂浮旋转，机械触手展开，悬浮皇冠发光，粉色月球背后，方糖黑立方靠近镜头，Universe-0001实验编号，Q版黑金机械荒诞动画，9:16竖屏
